text,label,notes
"Wanted to point out that the Warriors are 22-5 when Curry scores 30+ points, compared to 10-15 when he doesn't - he's still the key to their success",analysis,synthetic
"Just looked up some stats and since the trade deadline, the Nets are 12-3 with a +10.5 point differential - maybe they're not dead yet?",analysis,synthetic
"Some people are saying that Jokic is having a better season than Giannis, but I think the numbers say otherwise - Giannis is at 34.5% from 3, while Jokic is at 26.4%",analysis,synthetic
I've been looking at some historical data and found that teams that switch on 30% or more of defensive possessions have a 60% win percentage since 2015 - the Bucks are at 35% this season,analysis,synthetic
"Kawhi Leonard is quietly having an incredible season - he's got a 30.8% usage rate, while still maintaining a 65.5% true shooting percentage, that's incredible efficiency",analysis,synthetic
"I think the Thunder are the most interesting team to watch in the league - they're 8-2 in games decided by 5 points or less, and are only getting better with Shai back",analysis,synthetic
"Someone mentioned that Zion should be in the MVP conversation, but I think that's crazy - he's only played 35 games this season, and has a 14.1% turnover percentage",analysis,synthetic
"Went back and looked at some old playoff series - the 2016 Warriors were the first team in NBA history to come back from a 3-1 deficit in the Finals, what a crazy series",analysis,synthetic
"Does anyone think that the Raptors should consider starting a smaller lineup? They're 10-2 when Siakam plays 35+ minutes, and he's got a 23.4% usage rate in those games",analysis,synthetic
"Just looked up some numbers and since the All-Star break, Embiid is averaging 28.5 points, 12.1 rebounds, and 3.5 assists per game - he's making a strong case for MVP",analysis,synthetic
"The Blazers are 15-8 when Lillard scores 28+ points, compared to 5-12 when he doesn't - he's still the key to their success, even with all their injuries",analysis,synthetic
"Curious to see what people think about the idea that the Hawks should start using more ball movement - they're 25th in the league in assist percentage, and it's killing their offense",analysis,synthetic
"I've been looking at Joel Embiid's numbers and he's averaging 23.5 PPG on 48% FG, which is insane considering he's taking 32% of his teams shots. His usage rate is at 29.5%, highest in the league among centers.",analysis,synthetic
"People sleep on Jayson Tatum's playmaking ability, but he's got a 21.2% assist percentage, 5th among SFs. He's also got the 2nd best true shooting percentage among SFs at 62.1%.",analysis,synthetic
"The Lakers' small ball lineup with LeBron at center has been killing it, outscoring opponents by 12.1 points per 100 possessions. They need to run it more often.",analysis,synthetic
"Did some research and found that Nikola Jokic has the highest box plus/minus in the league among players who have played at least 40 games, at +11.4. He's the real MVP.",analysis,synthetic
"The Bucks' defense has been really struggling, giving up 115.6 points per 100 possessions when Brook Lopez is off the court. They need to figure out their bench defense.",analysis,synthetic
"I compared Luka Doncic's rookie season to other all-time greats and he's got the highest PER at 21.2. He's also taking the most shots per game among rookies in the last 20 years, at 19.3.",analysis,synthetic
"The Celtics' switching defense has been super effective, holding opponents to 42.1% FG when they switch on a screen. They should keep running it.",analysis,synthetic
"Steph Curry is having the most efficient shooting season of his career, with a 66.2% true shooting percentage. He's also taking the fewest shots per game since his rookie season.",analysis,synthetic
"The 76ers have been dominating in the paint, outscoring opponents by 10.4 points per game. They're also grabbing 55.6% of available rebounds, 2nd best in the league.",analysis,synthetic
"I looked at the pace of the game for each team and the Pelicans are playing at the fastest pace in the league, at 104.2 possessions per game. They're also turning it over the most, at 16.5 per game.",analysis,synthetic
"Damian Lillard has been carrying the Blazers, with a 30.8% usage rate and a 24.9 PER. He's also got the highest clutch shooting percentage in the league, at 55.6%.",analysis,synthetic
"The Jazz have the best defense in the league when Rudy Gobert is on the court, giving up just 96.2 points per 100 possessions. They're also blocking 7.5 shots per game, most in the league.",analysis,synthetic
"The Warriors' motion offense has been really effective, with a 55.6% assist percentage, highest in the league. They're also moving the ball an average of 314.5 passes per game.",analysis,synthetic
"Paul George has been having a career year, with a 24.1 PER and a 60.2% true shooting percentage. He's also averaging 2.2 steals per game, 5th in the league.",analysis,synthetic
"The Nuggets have been killing it in transition, outscoring opponents by 10.1 points per game on fast breaks. They're also grabbing 51.4% of available rebounds, 4th best in the league.",analysis,synthetic
"I compared Giannis' stats to Shaq's and he's got a higher PER, at 30.4 vs 28.4. He's also taking more shots per game, at 20.4 vs 18.4.",analysis,synthetic
"The Thunder have the best rebounding differential in the league, at +5.5 per game. They're also blocking 6.3 shots per game, 3rd in the league.",analysis,synthetic
"The Raptors have been using a box-and-one defense on Luka Doncic, holding him to 21.4% FG. They should use it more often.",analysis,synthetic
"Kawhi Leonard has been dominating in the post, scoring 1.04 points per possession on post-ups, highest in the league. He's also shooting 55.6% on those shots.",analysis,synthetic
"The Heat have been really effective in the clutch, outscoring opponents by 12.5 points per 100 possessions in the last 5 minutes of games within 5 points. They're also shooting 52.9% FG in those situations.",analysis,synthetic
Lebron is still the best player in the league and if you think otherwise youre a hater,hot_take,synthetic
The Lakers are winning it all this year mark my words,hot_take,synthetic
Giannis is overrated and will never lead a team to a championship,hot_take,synthetic
The Knicks are the most disappointing team in NBA history,hot_take,synthetic
Steph Curry is a system player and wouldnt be as good on any other team,hot_take,synthetic
The 76ers are going to trade Embiid and it will be a huge mistake,hot_take,synthetic
Russell Westbrook is a top 5 player all time and if you dont agree youre wrong,hot_take,synthetic
The Celtics are the deepest team in the league and will make a deep playoff run,hot_take,synthetic
Kevin Durant is a snake and will never be loved by real NBA fans,hot_take,synthetic
The Nuggets are the most underrated team in the league and will make a surprise run to the finals,hot_take,synthetic
James Harden is a ball hog and is ruining the Rockets,hot_take,synthetic
The Heat are the most consistent team in the league and will always be a playoff contender,hot_take,synthetic
Kawhi Leonard is the most clutch player in the league and will lead the Clippers to a championship,hot_take,synthetic
The Bulls are the worst run franchise in the league and will never be relevant again,hot_take,synthetic
Damian Lillard is the most underrated superstar in the league,hot_take,synthetic
The Raptors are a one hit wonder and will never be a consistent playoff team,hot_take,synthetic
Joel Embiid is the most dominant center in the league and will lead the 76ers to a championship,hot_take,synthetic
The Thunder are the most exciting young team in the league and will make a deep playoff run in 2 years,hot_take,synthetic
Paul George is a choker and will never lead a team to a championship,hot_take,synthetic
The Jazz are the most boring team in the league and will never attract any big name free agents,hot_take,synthetic
Luka Doncic is the next LeBron and will lead the Mavericks to multiple championships,hot_take,synthetic
The Hawks are the most disappointing team in the league and will never be a playoff contender,hot_take,synthetic
Bradley Beal is the most underrated shooting guard in the league and will be an all star for years to come,hot_take,synthetic
The Grizzlies are the most surprising team in the league and will make a deep playoff run this year,hot_take,synthetic
Kyrie Irving is a toxic teammate and will never lead a team to a championship,hot_take,synthetic
Lebron is the most overrated player of our generation and I'm tired of people coddling him,hot_take,synthetic
Giannis is a lock for MVP every year until he retires,hot_take,synthetic
The Warriors are going to win the championship next year and it's not even close,hot_take,synthetic
KD is a better scorer than Steph and it's not debatable,hot_take,synthetic
The Lakers are a dumpster fire and will never win a championship with Lebron,hot_take,synthetic
Joel Embiid is the best center in the league and if you disagree you're blind,hot_take,synthetic
The 76ers will make it to the finals next year and lose to the Clippers,hot_take,synthetic
Donovan Mitchell is a top 5 player in the league and I don't care what you say,hot_take,synthetic
The Jazz are going to trade Mitchell and regret it for the rest of their lives,hot_take,synthetic
Damian Lillard is the most clutch player in the league and it's not even close,hot_take,synthetic
The Blazers are going to make a deep playoff run next year and surprise everyone,hot_take,synthetic
Zion Williamson is overhyped and will never live up to the hype,hot_take,synthetic
The Pelicans are going to win the championship in the next 3 years and it's a fact,hot_take,synthetic
Ja Morant is the most exciting player in the league and if you don't like him you're boring,hot_take,synthetic
The Grizzlies are going to be a top 3 team in the west next year and I'm calling it now,hot_take,synthetic
The Bucks are going to trade Giannis and it's going to be a disaster,hot_take,synthetic
Kawhi is still the best player in the league and if you disagree you're wrong,hot_take,synthetic
The Clippers are going to win the championship next year and it's not even a question,hot_take,synthetic
Luka Doncic is the best player in the league under 25 and it's not close,hot_take,synthetic
The Mavericks are going to make a deep playoff run next year and Luka is going to carry them,hot_take,synthetic
The Nuggets are going to win the championship in the next 5 years and it's a guarantee,hot_take,synthetic
Nikola Jokic is the most underrated player in the league and it's a joke,hot_take,synthetic
The Heat are going to make a surprise run to the finals next year and stun everyone,hot_take,synthetic
Jimmy Butler is the most clutch player in the league and if you don't like him you're a hater,hot_take,synthetic
The Celtics are going to win the championship next year and it's not even a question,hot_take,synthetic
Lebron is the most overrated player of our generation and I'm sick of people coddling him,hot_take,synthetic
Giannis is a lock for MVP every year for the next 5 years no debate,hot_take,synthetic
The Lakers are a trash organization and will never win a chip with LeBron,hot_take,synthetic
KD is the real goat and if you dont like it youre just a hater,hot_take,synthetic
The 76ers are gonna win the east next year and thats a fact,hot_take,synthetic
Steph Curry is the most clutch shooter in NBA history and if you think otherwise youre wrong,hot_take,synthetic
The Clippers are the deepest team in the league and will make a deep playoff run,hot_take,synthetic
Russell Westbrook is a top 5 point guard of all time and the haters can stay mad,hot_take,synthetic
The Celtics are the most slept on team in the league and will make some noise next year,hot_take,synthetic
Harden is a ball hog and will never win a chip with his selfish style of play,hot_take,synthetic
The Nuggets have the brightest future in the league with Jokic and Murray leading the way,hot_take,synthetic
Kawhi is the best two way player in the league and its not even close,hot_take,synthetic
The Bucks will never win a chip with Budenholzer as their coach hes too soft,hot_take,synthetic
The Heat are the most consistently good team in the league and will always be a playoff threat,hot_take,synthetic
Luka is a once in a generation talent and will win multiple MVPs in his career,hot_take,synthetic
The Thunder will be a playoff team next year with SGA and Dort leading the way,hot_take,synthetic
The Warriors dynasty is over and they wont win another chip for a decade,hot_take,synthetic
Joel Embiid is the most dominant center in the league and will win a MVP soon,hot_take,synthetic
The Raptors are the most well run organization in the league and will always be competitive,hot_take,synthetic
Damian Lillard is the most underrated superstar in the league and deserves more respect,hot_take,synthetic
OMG DID YOU SEE THAT ALLEY OOP FROM LEBRON TO AD!!!!,reaction,synthetic
I cant believe we blew a 20 point lead...,reaction,synthetic
STEPH JUST HIT A 3 FROM ANOTHER ZIP CODE!!!!,reaction,synthetic
What a block by Giannis!!!,reaction,synthetic
We're getting KILLED on the boards... 42-20 rebounding margin is insane,reaction,synthetic
Lillard just crossed up his defender and hit a deep 3... wow,reaction,synthetic
How did we not get a foul call on that last play????,reaction,synthetic
EMBIID JUST POSTERIZED SOMEONE!!!!,reaction,synthetic
I'm losing my mind watching these refs...,reaction,synthetic
DAME TIME IS REAL!!!!,reaction,synthetic
That was the most ridiculous foul call I've ever seen...,reaction,synthetic
WE'RE ON A 12-0 RUN!!!!,reaction,synthetic
Jokic just did a behind the back pass... what a wizard,reaction,synthetic
We can't stop turning the ball over... 15 turnovers already,reaction,synthetic
KAWHI JUST HIT A BUZZER BEATER!!!!,reaction,synthetic
I'm so frustrated with our defense right now...,reaction,synthetic
What a game by Kyrie so far... 25 points and 7 assists,reaction,synthetic
WE'RE UP BY 10 WITH 2 MINUTES LEFT!!!!,reaction,synthetic
This is the worst officiating I've seen all season...,reaction,synthetic
Luka just did a 360 layup... are you kidding me????,reaction,synthetic
We need to rebound the ball... they're killing us on the glass,reaction,synthetic
Tatum just hit a tough fadeaway... he's on fire,reaction,synthetic
How did we let them come back from 15 down????,reaction,synthetic
Davis just blocked a shot into the stands... WOW,reaction,synthetic
OH MY GOD DID YOU SEE THAT LEBRON DUNK!!!!,reaction,synthetic
I cant believe we just blew a 20 point lead...,reaction,synthetic
STEPH CURRY IS ON FIRE TONIGHT!!!! 10 three pointers already!,reaction,synthetic
What a block by Giannis!!!!,reaction,synthetic
This game is insane... 3 overtime periods and still going!!!!,reaction,synthetic
I'm speechless... that buzzer beater by Luka was ridiculous!!!!,reaction,synthetic
We're up by 10 with 2 minutes left... please dont blow it...,reaction,synthetic
KD is dominating tonight... 40 points and counting!!!!,reaction,synthetic
EMBIID JUST POSTERIZED DAVIS!!!!!!,reaction,synthetic
How did we just give up a 14-0 run????,reaction,synthetic
This is the most intense game I've watched all season... my heart is racing!!!!,reaction,synthetic
What a pass by CP3... that was a thing of beauty!!!!,reaction,synthetic
I'm dying over here... we cant stop turning the ball over...,reaction,synthetic
HARDEN JUST HIT A 30 FOOTER AT THE BUZZER!!!!!!,reaction,synthetic
I cant believe we're getting outrebounded by 20...,reaction,synthetic
KAWHI JUST TOOK OVER THE GAME....,reaction,synthetic
This ref is killing me... worst calls all game...,reaction,synthetic
WE'RE ON A 12-0 RUN!!!!!! KEEP IT GOING!!!!,reaction,synthetic
I'm so frustrated right now... we cant seem to get anything going...,reaction,synthetic
WAIT WHAT JUST HAPPENED???? DID HE REALLY JUST MAKE THAT SHOT????,reaction,synthetic
That was the worst call of the season... are you kidding me????,reaction,synthetic
JOKIC JUST THREW A FULL COURT PASS TO MURRAY FOR A DUNK!!!!!!,reaction,synthetic
WE'RE GOING TO OVERTIME!!!!!! THIS GAME IS INSANE!!!!!!,reaction,synthetic
I cant believe we came back from 15 down... what a win!!!!!!,reaction,synthetic
OH MY GOD DID YOU SEE THAT DUNK BY ZION!!!!,reaction,synthetic
Lakers are getting KILLED by the Suns 30-10 with 2 minutes left in the 1st quarter...,reaction,synthetic
STEPH CURRY JUST HIT A 3 FROM LIKE 30 FEET OUT!!!!,reaction,synthetic
I cant believe we just blew a 10 point lead with 5 minutes left...,reaction,synthetic
GIANNIS JUST TOOK OVER THE GAME!!!! 10 points in the last 2 minutes,reaction,synthetic
What is going on with the refs tonight????,reaction,synthetic
LEBRON JUST HIT A GAME TYING 3 AT THE BUZZER!!!!,reaction,synthetic
This game is CRAZY!!!! 10 lead changes in the 4th quarter,reaction,synthetic
Damian Lillard is UNCONSCIOUS right now!!!! 15 points in the last 5 minutes,reaction,synthetic
I'm literally screaming at my TV right now.... how did we not get that call??,reaction,synthetic
KAWHI JUST HIT A CLUTCH 3 TO PUT THE CLIPPERS UP BY 2 WITH 10 SECONDS LEFT!!!!,reaction,synthetic
I cant believe the Celtics just came back from 20 down to take the lead...,reaction,synthetic
JOEL EMBIID JUST BLOCKED LIKE 3 SHOTS IN A ROW!!!!,reaction,synthetic
This is the most back and forth game Ive ever seen....,reaction,synthetic
KYRIE JUST HIT A WALK OFF 3 AT THE BUZZER!!!!!!,reaction,synthetic
What a choke job by the Bucks.... up 15 with 5 minutes left and they blow it,reaction,synthetic
Luka is putting on a SHOW!!!! 40 points and counting...,reaction,synthetic
I'm so sick of these refs..... every call is going against us tonight,reaction,synthetic
JAYSON TATUM JUST HIT A GAME WINNING FLOATER!!!!,reaction,synthetic
This game is an instant classic!!!! 22 lead changes and it comes down to the final shot,reaction,synthetic
